seed,leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,unconcentrated_departure_time,departure_time_concentrated,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,late_but_reached,maximum_commute_time_exceeded,maximum_lateness_exceeded,completion_failure_reason,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,origin_metro_walk_access_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,destination_metro_walk_access_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,fare_before_coupon_yuan,coupon_bound,coupon_redeemed,coupon_expired_after_failed_request,coupon_subsidy_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,experiment_condition,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
47,1-2026-07-07-L01,1,2026-07-07,Tuesday,outbound,activity-1-2026-07-07-002,work,Z3,Z1,2026-07-07 08:20:14.049240,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:20:14.049240,False,5.0,2026-07-07 09:25:00,2026-07-07 09:25:00,0.0,True,True,False,False,False,,False,False,bus,bus,2,37.174,8.0,16.0,13.174,4.0,17.592,18.587,8.0,4.0,0.0,18.587,8.0,4.0,0.0,2026-07-07 08:20:14.049240,metro,False,,False,False,metro,walk-bus-walk-metro-walk-bus-walk,True,12.5,0.0,12.5,16.0,10.0,26.266,64.766,8.0,8.0,False,False,False,0.0,24.984,,normal,W0,workday,P0_no_policy,P0_baseline,24.0,0.0,1.0,0.0,0.0
47,1-2026-07-07-L02,1,2026-07-07,Tuesday,return_home,activity-1-2026-07-07-002,return_home,Z1,Z3,2026-07-07 19:30:00,,,,False,8.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:30:00,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,8.0,0.0,8.0,2.0,0.0,16.428,26.428,26.52,26.52,False,False,False,0.0,27.893,0.682484,normal,W0,workday,P0_no_policy,P0_baseline,8.0,0.0,1.0,0.0,0.0
47,10-2026-07-07-L01,10,2026-07-07,Tuesday,outbound,activity-10-2026-07-07-003,work,Z5,Z3,2026-07-07 08:24:47.123760,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:24:47.123760,False,5.0,2026-07-07 09:55:00,2026-07-07 09:55:00,0.0,True,True,False,False,False,,False,True,bus,walk,1,28.693,5.714,12.0,10.979,2.0,56.522,28.693,12.0,5.714,0.0,0.0,0.0,0.0,8.0,2026-07-07 08:24:47.123760,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,11.114,0.0,11.114,20.0,5.0,54.101,90.215,7.0,7.0,False,False,False,0.0,30.947,,normal,W0,workday,P0_no_policy,P0_baseline,25.714,0.0,1.0,0.0,0.0
47,10-2026-07-07-L02,10,2026-07-07,Tuesday,between_activities,activity-10-2026-07-07-004,social_leisure,Z3,Z5,2026-07-07 20:00:00,2026-07-07 21:30:00,2026-07-07 20:00:00,2026-07-07 20:00:00,False,10.0,2026-07-07 21:53:15.369840,2026-07-07 21:53:15.369840,23.256,False,True,True,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 20:00:00,bus,False,,False,False,bus,walk-bus-walk,True,11.0,0.0,11.0,10.0,0.0,92.256,113.256,2.0,2.0,False,False,False,0.0,17.995,0.314444,normal,W0,workday,P0_no_policy,P0_baseline,21.0,0.0,1.0,0.0,0.0
47,10-2026-07-07-L03,10,2026-07-07,Tuesday,return_home,activity-10-2026-07-07-004,return_home,Z5,Z5,2026-07-07 22:30:00,,,,False,3.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 22:30:00,walk,False,,False,False,walk,walk,True,0.0,0.0,0.0,0.0,0.0,53.625,53.625,0.0,0.0,False,False,False,0.0,4.8,,normal,W0,workday,P0_no_policy,P0_baseline,53.625,0.0,1.0,0.0,0.0
47,100-2026-07-07-L01,100,2026-07-07,Tuesday,outbound,activity-100-2026-07-07-002,out_of_home_family_activity,Z7,Z4,2026-07-07 10:03:18.094500,2026-07-07 11:30:00,2026-07-07 09:30:00,2026-07-07 10:03:18.094500,False,10.0,2026-07-07 11:19:57.936480,2026-07-07 11:19:57.936480,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 10:03:18.094500,bus,False,,False,False,bus,walk-bus-walk,True,4.8,0.0,4.8,10.0,0.0,61.864,76.664,2.0,2.0,False,False,False,0.0,17.437,0.671928,normal,W0,workday,P0_no_policy,P0_baseline,14.8,0.0,1.1,0.0,0.0
47,100-2026-07-07-L02,100,2026-07-07,Tuesday,return_home,activity-100-2026-07-07-002,return_home,Z4,Z7,2026-07-07 14:30:00,,,,False,10.0,,,,,,False,False,False,,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 14:30:00,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,10.0,0.0,60.025,80.025,2.0,2.0,False,False,False,0.0,17.972,0.476667,normal,W0,workday,P0_no_policy,P0_baseline,20.0,0.0,1.1,0.0,0.0
47,101-2026-07-07-L01,101,2026-07-07,Tuesday,outbound,activity-101-2026-07-07-002,work,Z6,Z6,2026-07-07 08:42:10.251780,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:42:10.251780,False,10.0,2026-07-07 09:49:59.724240,2026-07-07 09:49:59.724240,0.0,True,True,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:42:10.251780,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,12.0,0.0,50.11,67.825,2.0,2.0,False,False,False,0.0,15.086,0.925556,normal,W0,workday,P0_no_policy,P0_baseline,17.714,0.0,1.1,0.0,0.0
47,101-2026-07-07-L02,101,2026-07-07,Tuesday,return_home,activity-101-2026-07-07-002,return_home,Z6,Z6,2026-07-07 18:00:00,,,,False,10.0,,,,,,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 18:00:00,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,12.0,0.0,50.274,67.989,2.0,2.0,False,False,False,0.0,15.037,0.945,normal,W0,workday,P0_no_policy,P0_baseline,17.714,0.0,1.1,0.0,0.0
47,102-2026-07-07-L01,102,2026-07-07,Tuesday,outbound,activity-102-2026-07-07-002,work,Z4,Z2,2026-07-07 06:00:00,2026-07-07 08:00:00,2026-07-07 06:00:00,2026-07-07 06:00:00,False,10.0,2026-07-07 07:50:18.066900,2026-07-07 07:50:18.066900,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 06:00:00,bus,False,,False,False,bus,walk-bus-walk,True,15.714,0.0,15.714,10.0,0.0,84.587,110.301,2.0,2.0,False,False,False,0.0,16.37,0.313333,normal,W0,workday,P0_no_policy,P0_baseline,25.714,0.0,1.1,0.0,0.0
